Region,Cutpoint
C,0.91592492536087
IC,0.870601838206672
InCa,0.948914214329253
LN,0.929812115043068
M1,0.935934527117024
M2,0.859356502241721
M3,0.950084007572421
M4,0.957488491314894
M5,0.904483626784559
M6,0.919820563048722
